package_name,cities_to_be_visit,no_of_nights,no_of_days,price
Guwahati Family Tour Packages,"guwahati  ,   kaziranga national park ,  shillong ,  cherrapunji ,  guwahati",6,7,29000.0
Delightful Meghalaya Honeymoon Package with Mawsmai Cave Exploration,"guwahati ,   shillong ,   cherrapunjee ,   mawsynram ,   mawlynnong ,   guwahati",5,6,21750.0
Meghalaya Adventure Honeymoon Package with Shnongpdeng,"shillong ,   cherrapunjee ,   shnongpdeng ,   shillong ,   guwahati",6,7,28500.0
Best Meghalaya Honeymoon Package - Candlelight Dinner,"guwahati ,   cherrapunjee ,   mawlynnong ,   dawki ,   jowai ,   shillong ,   mawsynram ,   guwahati",8,9,38120.0
7 Days Ultimate Meghalaya Tour Package,"shillong ,  cherrapunjee ,  dawki ,  guwahati",6,7,24000.0
Honeymoon in Paradise: 4 Nights 5 Days Meghalaya Package,"shillong ,   cherrapunjee ,   dawki ,   guwahati",4,5,19999.0
Super Saver Group Tour Package to Meghalaya and Assam,"guwahati ,   shillong ,   cherrapunjee",5,6,14499.0
Simply Jorhat,jorhat,2,3,6000.0
Charming Jorhat and Majuli,"jorhat ,  majuli",2,3,7500.0
"Delightful Northeast Jorhat, Majuli, Dibrugarh & More","jorhat ,  majuli ,  dibrugarh ,  tezpur ,  guwahati",5,6,13500.0
"Gems of Assam Jorhat, Guwahati & More","tezpur ,  majuli ,  jorhat ,  kaziranga ,  guwahati",4,5,12000.0
Beautiful Jorhat and Guwahati with Kaziranga Stay,"jorhat ,  kaziranga ,  guwahati",3,4,10000.0
Alluring Dibru Saikhowa National Park and Tinsukia,"dibrugarh ,  tinsukia",2,3,7800.0
Jungle Calling Featuring Dibru Saikhowa National Park,"dibrugarh ,  tinsukia ,  digboi ,  tinsukia ,  kaziranga ,  guwahati",6,7,16500.0
Assam Wildlife Special Including Dibru Saikhowa National Park,"manas ,  pobitora ,  kaziranga ,  dibru saikhowa ,  guwahati",9,10,27000.0
Awesome Assam Including Dibru Saikhowa National Park,"jorhat ,  majuli ,  sivasagar ,  dibrugarh ,  dibru saikhowa",5,6,16000.0
Simply Silchar,silchar,2,3,7500.0
"Splendid Silchar, Jowai and Dawki","silchar ,  jowai ,  dawki",3,4,11200.0
"Spectaculat Silchar, Jowai and Shillong","shillong ,  silchar ,  jowai",3,4,12000.0
Serene Silchar and Imphal,"silchar ,  imphal",2,3,7000.0
"Superb Silchar, Imphal, Kohima and Dimapur","silchar ,  imphal ,  kohima ,  dimapur",4,5,14000.0
Buddha Trail 7N Tour Package,"gaya ,   patna ,   kushinagar ,   varanasi",7,8,21000.0
Complete Varanasi & Bodh Gaya Tour Package,"varanasi ,    bodh gaya ,   varanasi",4,5,14000.0
"Pilgrimage Special Package: Varanasi, Bodh Gaya, Allahabad","varanasi ,   gaya ,  allahabad ,   varanasi",4,5,12800.0
Buddhist Pilgrimage Tour: Varanasi & Bodhgaya,"varanasi ,   bodh gaya",4,5,18500.0
Serinity of Varanasi & Bodh Gaya,"varanasi ,   bodh gaya",4,5,10450.0
"Enthralling Varanasi, Bodh Gaya & Patna","varanasi ,  bodh gaya ,  patna",3,4,15000.0
"04 Nights Ayodhya, Varanasi & Gaya Tour Package","lucknow ,   ayodhya ,   varanasi ,   bodh gaya ,   varanasi",4,5,16950.0
"Marvellous Delhi, Haridwar & Varanasi","delhi ,   haridwar ,   varanasi ,   bodh gaya",5,6,21950.0
Panorama of North including Nepal Tour,"varanasi ,   bodh gaya ,   patna ,   kushinagar ,   lumbini ,   lucknow",6,7,38000.0
"Varanasi, Bodh Gaya & Allahabad Tour Package","varanasi ,   gaya ,   varanasi ,   allahabad",5,6,22000.0
Bihar Tour Package including Rajgir,"patna ,   bodh gaya ,   rajgir ,   nalanda",4,5,13200.0
Holiday Tour Package of Varanasi & Bihar,"varanasi ,   bodh gaya ,    rajgir ,   nalanda ,   patna",6,7,19450.0
5 Nights Buddha Trail - Gaya & Rajgir,"varanasi ,   gaya ,   rajgir ,   nalanda",5,6,15450.0
Bihar 4 Nights Religious Tour Package,"gaya ,   rajgir ,   patna",4,5,12500.0
Rajgir Tour Package,"patna ,   rajgir",4,5,12000.0
Rajgir Tour Package,"patna ,   nalanda ,   rajgir",3,4,9000.0
"Spiritual Vaishali, Bodhgaya and Varanasi","vaishali ,  bodhgaya ,  varanasi",3,4,10000.0
Dwarka Somnath Darshan Package (With Optional Tour Manager),"ahmedabad ,   dwarka ,   somnath",3,4,8500.0
"Gujarat Temple Tour: Dwarka, Somnath & Ahmedabad","dwarka ,   somnath ,   ahmedabad",4,5,12500.0
"Best of Gujarat Family Package: Kutch, Bhuj, Dwarka & More","bhuj ,   dwarka ,   somnath ,   sasan gir",7,8,25000.0
"A Week in Gujarat: Dwarka, Somnath, Gir & More","ahmedabad ,   jamnagar ,   dwarka ,   somnath ,   diu ,   sasan gir",6,7,11400.0
Dwarka Somnath Tour Package with Diu Island,"ahmedabad ,   dwarka ,  somnath ,  diu ,  ahmedabad",5,6,18500.0
Beautiful Gujarat with Dwarka & Somnath,"ahmedabad ,   jamnagar ,   dwarka ,  somnath ,   rajkot",4,5,15000.0
3 Nights Somnath Dwarka Tour Package with Porbandar,"ahmedabad ,   dwarka ,   somnath",3,4,14350.0
Somnath Dwarka with Junagadh Tour,"rajkot ,   junagadh ,   somnath ,   dwarka ,   jamnagar",4,5,8999.0
Dwarka Somnath Diu & Junagadh Package,"ahmedabad ,   dwarka ,   somnath ,   diu ,   junagadh",5,6,17650.0
Splendid Gujarat Temple and Wildlife Tour,"dwarka ,   somnath ,   diu ,   sasan gir",4,5,8500.0
"Best of Gujarat : Temples, Statues and Wildlife","ahmedabad ,   dwarka ,   somnath ,   sasan gir ,   vadodara",6,7,22500.0
"Fascinating Ahmedabad, Diu and Somnath","ahmedabad ,   bhavnagar ,   sasan gir ,   diu ,   somnath ,   dwarka ,   rajkot",7,8,13000.0
Gujarat Holy Pilgrimage and Sightseeing Tour,"ahmedabad ,   dwarka ,   somnath ,   diu ,   junagadh ,   ahmedabad",7,8,14000.0
Gujarat Special Tour of Temples and Wildlife,"ahmedabad ,  dwarka ,  somnath ,  sasan gir ,  vadodara",5,6,19000.0
Best of Saurashtra: Gujarat & Diu Island,"ahmedabad ,   dwarka ,   somnath ,   diu ,   sasan gir ,   ahmedabad",6,7,21500.0
Dwarka- Somnath: Gujarat Pilgrims Package,"ahmedabad ,   jamnagar ,   dwarka ,   somnath ,   rajkot",4,5,15999.0
Royal Gujarat Holiday Package with Bhuj Tour,"bhuj ,   dwarka ,   somnath ,   sasan gir",7,8,18000.0
4 Night 5 Days Gujarat Tour Package,"dwarka ,   somnath ,   ahmedabad",4,5,12500.0
"Best of Gujarat: Bhuj, Somnath, Sasan Gir & More","bhuj ,   dwarka ,   somnath ,   sasan gir",7,8,25000.0
6 Night 7 Days Gujarat Darshan Package,"ahmedabad ,   dwarka ,   somnath ,   sasan gir ,   vadodara",6,7,22500.0
Wildlife & Beach of Gujarat: Gir with Diu Tour,"sasangir  ,   diu",4,5,19500.0
