package_name,cities_to_be_visit,no_of_nights,no_of_days,price
"Enthralling Rameshwaram, Kanyakumari, Madurai and More","kanyakumari  ,   rameshwaram  ,   madurai  ,   kodaikanal",5,6,18230.0
"Summer Special  Kanyakumari, Rameshwaram, Madurai and More","madurai  ,   rameshwaram  ,   kanyakumari  ,   kovalam  ,   alleppey",6,7,23294.0
"Magical Kodaikanal, Rameshwaram, Ooty and More","ooty  ,   kodaikanal  ,   madurai  ,   rameshwaram  ,   kanyakumari",7,8,25468.0
"Holy Package -  Rameshwaram, Chennai, Madurai and More","chennai  ,   pondicherry  ,  thanjavur  ,   tiruchirapalli  ,   madurai  ,   rameshwaram  ,   kanyakumari",8,9,28203.0
"Beach Escape - Kanyakumari, Rameshwaram, Pondicherry and More","mahabalipuram  ,   pondicherry  ,   madurai  ,   rameshwaram  ,   kanyakumari",7,8,50615.0
"Pearls of Tamil Nadu - Kanyakumari, Rameshwaram, Chennai and More","chennai  ,   mahabalipuram  ,   pondicherry  ,   madurai  ,   rameshwaram  ,   kanyakumari",8,9,28738.0
Stunning Tamil Nadu Honeymoon Tour Package,"chennai ,   kumbakonam ,   thanjuvar ,   rameswaram ,   kanyakumari ,   kodaikanal ,   ooty",7,8,28100.0
4 Nights 5 Days Kanyakumari Rameshwaram Darshan Package,"trivandrum ,   kanyakumari ,   rameswaram ,   madurai",4,5,17650.0
"Enchanting Rameshwaram, Kodaikanal, & Madurai","kodaikanal ,  rameshwaram ,  madurai",4,5,11700.0
"Beaches and Temples Package - Rameshwaram, Madurai, Kanyakumari and More","madurai  ,   rameshwaram  ,   kanyakumari  ,   kovalam  ,   poovar",6,7,21977.0
Stunning Chennai Honeymoon Package with Tour of Tamil Nadu,"chennai ,   kumbakonam ,   thanjuvar ,   rameswaram ,   kanyakumari ,   kodaikanal ,   ooty",7,8,28100.0
Simply Rameshwaram,rameshwaram,2,3,6732.0
Devotional Rameshwaram,rameshwaram,2,3,2968.0
"Religious Package -  Rameshwaram, Chennai, Madurai and More","chennai  ,   pondicherry  ,  thanjavur  ,   tiruchirapalli  ,   madurai  ,   rameshwaram  ,   kanyakumari",8,9,28203.0
"South India Special Package - Rameshwaram, Kochi, Munnar and More","kochi  ,   munnar  ,   thekkady  ,   kovalam and poovar  ,   kanyakumari  ,   rameshwaram  ,   madurai",8,9,31098.0
"Budget Pilgrimage Package - Rameshwaram, Kanyakumari, Madurai and More","kanyakumari  ,   rameshwaram  ,   madurai  ,   tirupati",5,6,6772.0
"Captivating Kanyakumari, Rameshwaram, Madurai and More","kanyakumari  ,   rameshwaram  ,   madurai  ,   kodaikanal",5,6,18230.0
"Magical Rameshwaram, Madurai, Kanyakumari and More","madurai  ,   rameshwaram  ,   kanyakumari  ,   kovalam  ,   alleppey",6,7,23294.0
"Misty Rameshwaram, Ooty, Kodaikanal and More","ooty  ,   kodaikanal  ,   madurai  ,   rameshwaram  ,   kanyakumari",7,8,25468.0
"Sea Dreams - Madurai, Rameshwaram, Kanyakumari and More","madurai ,   rameshwaram ,   kanyakumari ,   kovalam  ,   poovar",5,6,18473.0
"Beach Fun - Rameshwaram, Kodaikanal, Madurai and More","madurai ,   kodaikanal  ,   madurai  ,   rameshwaram  ,   kanyakumari  ,   kovalam",6,7,24000.0
"Triple the Fun Tour - Rameshwaram, Madurai, Kanyakumari","madurai  ,   rameshwaram  ,   kanyakumari",3,4,11090.0
"Wonder of Temples - Rameshwaram, Chennai, Madurai and More","chennai  ,   madurai  ,   rameswaram  ,   kanyakumari",5,6,18017.0
"Big 6 Package - Rameshwaram, Chennai, Mahabalipuram and More","chennai  ,   mahabalipuram  ,   pondicherry  ,   madurai  ,   rameshwaram  ,   kanyakumari",8,9,28738.0
"Beachy Getaway Package - Rameshwaram, Mahabalipuram, Pondicherry and More","mahabalipuram  ,   pondicherry  ,   madurai  ,   rameshwaram  ,   kanyakumari",7,8,50615.0
Kodaikanal Tour Packages for 3 Days,"madurai ,   kodaikanal",2,3,9000.0
Cheapest Kodaikanal Tour Packages - 2 Nights 3 Days,kodaikanal,2,3,8800.0
Idyllic Ooty and Kodaikanal Honeymoon Package,"coimbatore ,   ooty ,   kodaikanal",4,5,17000.0
4 Nights 5 Days Magical Kodaikanal with Munnar Tour Package,"kodaikanal ,  munnar",4,5,15600.0
"Honeymoon at Kodaikanal with Resort Stay, Candle Light Dinner and Sightseeing Tour",kodaikanal,2,3,9500.0
Kodaikanal Tour Packages for Family with Ooty,"coimbatore ,   ooty ,   kodaikanal",4,5,15000.0
Dreamy Ooty & Kodaikanal with Mysore Tour Package,"bangalore ,   mysore ,   ooty ,   kodaikanal",5,6,15000.0
Romantic Getaway to Kodaikanal,kodaikanal,2,3,9975.0
Kodaikanal Tour Packages for 4 Days: Honeymoon Edition,"madurai ,   kodaikanal",3,4,16000.0
Kodaikanal & Ooty Holiday Package from Madurai,"madurai ,   kodaikanal ,   ooty",4,5,17500.0
2 Night Kodaikanal Package With Plantation & Spice Tour Experience,"madurai ,   kodaikanal",2,3,8500.0
Kodaikanal Honeymoon Package from Madurai,"madurai ,   kodaikanal",3,4,14500.0
"Beachside Package - Kodaikanal, Madurai, Rameshwaram and More","madurai ,   kodaikanal  ,   madurai  ,   rameshwaram  ,   kanyakumari  ,   kovalam",6,7,24000.0
Romantic Kodaikanal & Ooty Honeymoon Tour Package,"kodaikanal  ,   ooty",4,5,21000.0
Splendid Bangalore Mysore Ooty Kodaikanal Tour Package,"bangalore ,   mysore ,   ooty ,   kodaikanal",6,7,24559.0
Spectacular South India Tour Package,"bangalore  ,   mysore ,   ooty ,   kodaikanal",5,6,20799.0
Ultimate Kodaikanal Trip,kodaikanal,3,4,10710.0
4 Nights 5 Days Ooty and Kodaikanal Honeymoon Package,"ooty (udhagamandalam) ,   kodaikanal",4,5,9999.0
Munnar Ooty Kodaikanal Tour in the Hills Honeymoon Package,"coimbatore  ,   ooty ,   munnar ,   kodaikanal",5,6,22500.0
Breathtaking South Soulmate Special Package,"banglore  ,   ooty ,   kodaikanal ,   munnar ,   thekkady ,  alleppey",8,9,35999.0
Romantic Kodaikanal Ooty Honeymoon Package from Madurai,"madurai ,   kodaikanal ,   ooty",4,5,17500.0
Kodaikanal Luxury Honeymoon Package,"madurai ,   kodaikanal",3,4,21000.0
Kodaikanal Honeymoon Special Package with Munnar & Ooty,"coimbatore  ,   ooty ,   munnar ,   kodaikanal",5,6,19500.0
2 Night 3 Days Kodaikanal Deluxe Honeymoon Package,kodaikanal,2,3,5800.0
Drivacation to Dreamy Ooty Package,"coimbatore  ,   ooty",2,3,5500.0
Students  Ooty Group Tour Package,"coimbatore  ,   ooty",2,3,1800.0
"Best Selling Bangalore, Mysore, Ooty Tour Package","bangalore ,   mysore ,   ooty",4,5,5000.0
Love in Ooty Luxury Honeymoon Package,ooty,5,6,25500.0
Budget Ooty Honeymoon Package,ooty,2,3,5800.0
Discover Ooty Tour Package with Masinagudi,"coimbatore ,   ooty",3,4,4850.0
Luxury Ooty Honeymoon Tour Package,"coimbatore  ,   ooty",3,4,18500.0
Ooty Group Tour Package,"chennai  ,   ooty",3,4,2900.0
"Hills Special: Ooty, Munnar, Kodaikanal","munnar  ,   kodaikanal  ,   ooty",6,7,21458.0
Riveting Ooty & Wayanad for a Hilly Escape,"bangalore ,   mysore ,   ooty ,   wayanad",5,6,11500.0
2 Nights Ooty Honeymoon Package from Coimbatore,"coimbatore ,   ooty",2,3,9000.0
Cozy Getaway Holiday Package,"madurai ,   kodaikanal ,   ooty",4,5,17500.0
"Incredible Package - Ooty, Mysore, Ranganathittu, Bandipur and More","bangalore - mysore  ,   ranganathittu  ,   nagarhole  ,   bandipur  ,   ooty",7,8,23985.0
"Remarkable Ooty, Munnar, Kodaikanal Tour","munnar  ,   kodaikanal  ,   ooty",6,7,50204.0
3 Days in 3 Star Ooty Honeymoon Package,ooty,2,3,15000.0
Relaxing Ooty: Honeymoon Special,"coimbatore ,   ooty",3,4,16000.0
2 Nights 3 Days Ooty Package From Coimbatore,"coimbatore ,   ooty",2,3,5500.0
Coonoor Honeymoon Package with Ooty Sightseeing,"coimbatore ,   coonoor",3,4,19500.0
Stunning Andaman Tour Package from Hyderabad,port blair,3,4,14500.0
Super Saver Delhi Agra Jaipur Varanasi Tour Package,"delhi ,   jaipur ,   agra ,   varanasi",6,7,24000.0
Delhi Agra Jaipur Tour Package 5 Days with Mathura,"delhi ,   mathura ,   agra ,   jaipur",4,5,18100.0
Delhi Mathura Vrindavan Agra Tour Package 3 Days - Sri Krishna-Balaram Mandi,"mathura ,  vrindavan  ,   agra",2,3,9500.0
Vacation Package to Agra & Jaipur from Delhi - Visit Taj Mahal,"delhi ,   agra ,   jaipur",5,6,19840.0
Vrindavan & Agra Tour Package - Temple Hopping,"vrindavan ,   agra",2,3,8000.0
Agra Lucknow & Varanasi Tour - Boat Ride on River Ganges,"delhi ,   agra ,   lucknow ,   varanasi",4,5,17650.0
Vrindavan Tour Package including Agra,"vrindavan ,   agra",3,4,9500.0
Delhi Sightseeing Tour Package: Agra & Ranthambhore National Park,"delhi ,   ranthambore ,   agra",5,6,29800.0
"Pilgrimage & Temple Tour of India: Agra, Mathura & More","mathura ,  vrindavan ,   agra ,   delhi ,   haridwar ,   rishikesh",8,9,32500.0
Delhi Agra 2 Days Tour Package - Taj Mahal,"delhi ,   agra",1,2,10555.0
Spiritual Triangle of Uttar Pradesh - 3 Nights,"mathura ,   vrindavan ,   agra",3,4,12500.0
"UP Pilgrimage Group Tour Package: Varanasi, Chitrakoot, Ayodhya & More","allahabad ,   chitrakoot ,   varanasi ,   ayodhya ,   haridwar ,   mathura ,   vrindavan",10,11,40880.0
"Royal Heritage Tour: Agra, Delhi, Haridwar, & More","delhi ,   haridwar ,   nainital ,   agra ,   jaipur",6,7,21999.0
"Triple Fun: Delhi, Agra And Nepal Tour Package","delhi ,   agra ,   kathmandu",6,7,26500.0
Delhi Agra Tour Package 3 Days -  Excursion to Rishikesh & Haridwar,"agra ,   delhi",2,3,10000.0
Delhi Agra Mathura Tour Package: India Golden Triangle Tour,"delhi ,   mathura ,   agra ,   jaipur",6,7,26000.0
Agra Mathura Vrindavan Tour Package - 3 Nights 4 Days,"delhi ,   mathura ,   vrindavan ,   agra",3,4,12500.0
"Rajasthan, Delhi and Agra Tour with Elephant Back Ride","delhi ,   agra ,   jaipur ,   udaipur ,   jodhpur ,   jaisalmer ,   bikaner ,   mandawa",13,14,45000.0
"Uttar Pradesh Trip- Varanasi, Allahabad, Agra & Lucknow","delhi ,   agra ,   lucknow ,   ayodhya ,   allahabad ,   varanasi",6,7,22000.0
Cultural Tour of Uttar Pradesh - Attend Evening Aarti,"varanasi(2n ) ,    allahabad ,    ayodhya(1n ) ,   lucknow(1n ) ,    agra",6,7,23000.0
Manali Tour with Delhi and Agra,"delhi ,   agra ,   manali",5,6,25500.0
Mathura and Vrindavan Tour Package: Sacred & Temple Tour of India,"mathura ,  vrindavan ,   agra ,   delhi ,   haridwar ,   rishikesh",8,9,32500.0
Delhi Agra Tour Package - 3 Nights 4 Days,"delhi ,   agra ,   delhi",3,4,11840.0
Varanasi Holy Ganges Tour Package with Ganga Aarti,varanasi,2,3,6100.0
Experience Varanasi Tour Package with Sarnath,"delhi ,   varanasi",2,3,7500.0
Kashi Yatra Tour Package,varanasi,3,4,13500.0
Kashi Darshan Tour Package,varanasi,2,3,5877.0
Spiritual and Wellness Tour Package to India and Sri Lanka,"rishikesh ,   varanasi ,   anuradhapura ,   kandy",10,11,87898.0
Spiritual Splendors of Uttar Pradesh - 6 Nights,"varanasi ,   allahabad ,   ayodhya ,   lucknow ,   agra",6,7,23000.0
"Spiritual Journey: Varanasi, Prayagraj, and Ayodhya","varanasi ,   prayagraj ,    ayodhya",5,6,17950.0
Varanasi and Ayodhya Tour Package,"varanasi ,   ayodhya",3,4,13500.0
Religious Tour Package for Varanasi and Ayodhya,"varanasi ,   ayodhya",4,5,19500.0
"Spiritual Journey Through Uttar Pradesh: Ayodhya, Prayagraj, and Varanasi","ayodhya ,   prayagraj ,   varanasi",6,7,24500.0
"Trip to Ayodhya, Prayagraj and Varanasi - 5 Nights 6 Days","varanasi ,   prayagraj ,   ayodhya ,  varanasi",5,6,22500.0
"Uttar Pradesh Pilgrimage Odyssey: Varanasi, Prayagraj, Chitrakoot, and Ayodhya Exploration","varanasi ,   prayagraj ,   chitrakoot  ,   ayodhya ,  varanasi",6,7,25500.0
"Ayodhya Tour Package with Varanasi, Prayagraj and Lucknow","varanasi ,   prayagraj ,   ayodhya ,  lucknow",5,6,21500.0
Spiritual Journey Tour Package of India and Nepal,"delhi ,   varanasi ,  kathmandu ,   pokhara  ,   chitwan ,   lumbini  ,   delhi",10,11,79000.0
Wildlife and Adventure Tour Package of  India and Nepal,"delhi ,   jaipur ,   ranthambore ,   agra ,   varanasi ,   kathmandu ,   pokhara ,   chitwan ,   kathmandu",10,11,123000.0
Uttar Pradesh Group Tour Package with Boat Ride in Ganges,"allahabad ,   chitrakoot ,   varanasi ,   ayodhya ,   haridwar ,   mathura ,   vrindavan",10,11,45880.0
Varanasi Tour Package Including Naimisharanya Trip,"varanasi ,   allahabad ,   ayodhya ,   lucknow",5,6,19000.0
"Uttar Pradesh Trip- Varanasi, Allahabad & Chitrakoot","varanasi ,   allahabad ,   varanasi",5,6,19000.0
Varanasi Package Covering Chirkoot,"varanasi (1n) ,   allahabad  ,   chirkoot  ,   varanasi",5,6,17500.0
Holy Trail Including Ayodhya & Varanasi,"varanasi ,   allahabad ,   ayodhya ,   varanasi",5,6,19500.0
"Religious Uttar Pradesh Tour: Kashi, Chitrakoot, Lucknow & More","varanasi ,   allahabad ,   lucknow",6,7,23000.0
2 Nights 3 Days Lucknow and Ayodhya Tour Package,"lucknow ,   ayodhya",2,3,10999.0
Pligrims Special Vrindavan Mathura Tour Package by Car,"delhi ,   mathura ,   vrindavan",2,3,10999.0
Pilgrimage & Temple Tour of India,"mathura ,  vrindavan ,   agra ,   delhi ,   haridwar ,   rishikesh",8,9,32500.0
Vrindavan & Mathura Tour Package,"delhi ,   mathura ,   vrindavan",3,4,12999.0
Vrindavan and Mathura Tour Package: Sacred & Temple Tour of India,"mathura ,  vrindavan ,   agra ,   delhi ,   haridwar ,   rishikesh",8,9,32500.0
5-Night Holi Package in India - Colors of India,"delhi ,   mathura ,   jaipur",5,6,38000.0
"Holi Package Itinerary: Delhi, Vrindavan, Mathura, Jaipur","delhi ,   vrindavan ,   mathura ,   jaipur",5,6,36000.0
6-Night Holi Package: Delhi to Agra,"delhi ,   vrindavan ,   mathura ,   agra",6,7,38000.0
Ayodhya Spiritual Retreat: Embracing Divine Serenity,ayodhya,2,3,11500.0
Ayodhya Ram Janmabhoomi Tour Package,"lucknow ,   ayodhya",1,2,9500.0
"Religious Uttar Pradesh Tour: Kashi, Ayodhya, Lucknow & More","varanasi ,   allahabad ,   lucknow",6,7,23000.0
Stunning Dehradun Mussoorie Tour Package,"dehradun ,   mussoorie ,   dehradun",3,4,9700.0
Best Uttarakhand Tour Packages with Haridwar & Mussoorie,"delhi ,   haridwar ,  rishikesh ,  dehradun ,  mussoorie",5,6,19999.0
"Charming Dehradun Tour with Mussoorie, Haridwar & Dhanaulti","dehradun ,   mussoorie ,   haridwar",4,5,11715.0
Best Selling Dehradun Mussoorie Package with Rishikesh,"delhi ,   dehradun ,  mussoorie ,  rishikesh",5,6,21000.0
Dehradun Mussoorie Family Tour Package,"delhi ,   dehradun ,   mussoorie",4,5,20000.0
"Dehradun Sightseeing Tour with Shimla, Rishikesh & More","delhi ,   shimla ,   dehradun ,   rishikesh ,   haridwar",6,7,42600.0
3 Days Tour Package in India: Char Dham Yatra By Helicopter,"dehradun ,   haridwar ,   harsil",2,3,165000.0
Classic Dehradun Mussoorie Holiday Package,"delhi ,   mussoorie ,  dehradun",3,4,9999.0
Nag Tibba Trek from Dehradun,"dehradun ,   nag tibba",1,2,4000.0
Kedarnath and Badrinath Darshan via Helicopter Ex Dehradun,"dehradun ,   guptkashi ,   joshimath ,   badrinath ,   rudraprayag",5,6,45000.0
Chardham Yatra By Helicopter Package,"dehradun ,   yamunotri ,   gangotri ,   kedarnath ,   badrinath",5,6,185000.0
Char Dham by Helicopter Package,"dehradun ,  yamunotri ,   gangotri ,   kedarnath ,   badrinath ,   dehradun",5,6,194000.0
Kedarkantha Trek Package,"dehradun ,   sankri",5,6,16450.0
"All in 1 Package - Rishikesh, Dehra Dun, Mussourie and More","dehradun  ,   mussoorie  ,   rishikesh  ,   haridwar  ,   jim corbett",8,9,34591.0
Dehradun Mussoorie Honeymoon Package with Camping in Rishikesh,"delhi ,   dehradun ,  mussoorie ,  rishikesh",5,6,21000.0
Love in Dehradun Mussoorie Deluxe Honeymoon Package,"delhi ,   dehradun ,   mussoorie",4,5,20000.0
Spiritual Tour of Uttarakhand,"delhi ,   haridwar ,   guptakashi ,   kedarnath ,   rudraprayag ,   badrinath ,   joshimath ,   rishikesh",7,8,23340.0
Kedarnath-Badrinath Yatra,"haridwar ,   guptkashi ,   kedarnath ,  guptkashi ,   badrinath ,  govindghat",6,7,20500.0
Haridwar with char dham,"delhi ,   haridwar ,   barkot ,   yamountri ,   uttarkashi ,   gangotri ,    guptakashi ,   badrinath ,   rudraprayag",9,10,52000.0
Special Uttarakhand Family Tour Package,"delhi ,   haridwar ,   mussoorie ,   jim corbett national park ,   nainital",6,7,27157.0
Therapeutic Haridwar and Rishikesh Ganges Tour,"delhi ,   haridwar ,  rishikesh",3,4,11900.0
Charming Dehradun Mussoorie Tour with Dhanaulti & Hardiwar,"dehradun ,   mussoorie ,   haridwar",4,5,11715.0
"Best of Uttarakhand Tour Package: Corbett, Nainital, Kausani & More","delhi ,   haridwar ,   jim corbett national park ,   nainital ,   kausani",7,8,13500.0
Elaborate Haridwar Rishikesh Mussoorie and Corbett Tour,"delhi  ,   haridwar ,  mussoorie ,  jim corbett national park",4,5,16071.0
Nainital Mussoorie Jim Corbett Tour Packages,"delhi ,   nainital ,   jim corbett national park ,   haridwar ,   mussoorie",7,8,26000.0
Special Family Package to Haridwar Rishikesh and Mussoorie,"delhi ,  haridwar ,  rishikesh ,  mussoorie",4,5,35000.0
Stunning Naintal Haridwar Mussoorie Tour,"delhi ,   nainital ,  haridwar ,  mussoorie",5,6,22500.0
Remarkable Haridwar Rishikesh Auli Tour,"dehradun ,   joshimath ,   haridwar",4,5,14500.0
Rishikesh 3 Days Itinerary,"haridwar ,  rishikesh",2,3,7000.0
Kedarnath Badrinath Do Dham Package from Haridwar,"haridwar ,   guptakashi ,   kedarnath ,   rudraprayag ,   badrinath ,   rudraprayag",5,6,38160.0
"Auli, Rishikesh & Haridwar Tour from Delhi","delhi ,   rishikesh ,   auli ,   haridwar",4,5,15999.0
"Best of Shimla, Dehradun, Rishikesh & Haridwar","delhi ,   shimla ,   dehradun ,   rishikesh ,   haridwar",6,7,42600.0
Char Dham Yatra Package by Helicopter - Ex Haridwar,"haridwar ,   yamunotri ,  gangotri ,  kedarnath ,  badrinath ,  haridwar",5,6,180000.0
Badrinath and Rudraprayag Yatra by Cab,"haridwar ,   rudraprayag ,   badrinath ,   rudraprayag",3,4,12000.0
Standard Auli Rishikesh Tour Package for Couples,"haridwar ,   joshimath ,   auli ,   rishikesh",5,6,20250.0
"Royal Heritage Tour to Delhi, Agra, Jaipur and Nainital","delhi ,   haridwar ,   nainital ,   agra ,   jaipur",6,7,21999.0
Splendid Haridwar to Auli Package,"haridwar ,   auli",4,5,17000.0
Badrinath and Joshimath Yatra from Haridwar,"joshimath ,  badrinath ,  rudraprayag",4,5,16000.0
Uttarakhand Religious Tour Package,"mumbai ,   haridwar ,   barkot ,  yamunotri ,   uttarkashi ,   gangotri ,   guptkashi ,   badrinath ,   devprayag",10,11,61250.0
Memorable Uttarakhand and Delhi,"delhi ,   haridwar ,   mussoorie ,   nainital ,   corbett ,   delhi",8,9,31950.0
Auli Tour Package,"haridwar ,   auli ,   haridwar",3,4,12000.0
Kedarnath from Delhi by Cab,"delhi ,   haridwar ,   guptakashi ,   haridwar",4,5,15500.0
Valley of Flowers Package for 7 Night 8 Days,"haridwar ,  pipalkoti ,  ghangaria ,  badrinath ,  valley of flowers",7,8,22557.0
Ek Dham Yatra - Badrinath,"haridwar ,   badrinath ,   srinagar",3,4,11200.0
Chaar Dhaam Yatra,"haridwar ,   barkot ,   gangotri ,   kedarnath ,    pipalcotti ,   rishikesh",10,11,40670.0
Kedarnath and Badrinath Darshan via Helicopter,"dehradun ,   guptkashi ,   joshimath ,   badrinath ,   rudraprayag",5,6,45000.0
Char Dham Yatra,"haridwar ,   barkot ,   uttarkashi ,   sitapur/guptkashi ,   kedarnath ,   badrinath ,   rudraprayag",9,10,19000.0
2 Nights Auli Package with Trekking and Skiing,"haridwar ,   auli",2,3,9500.0
Uttarkhand Char Dham Yatra from Haridwar,"haridwar ,   barkot ,   yamountri ,   jankichatti ,   gangotri ,  sitapur ,  kedarnath ,   pipalcotti ,   badrinath ,   haridwar",10,11,61000.0
"Gangotri, Kedarnath and Badrinath Yatra from Delhi","delhi ,   haridwar ,   uttarkashi ,   gangotri ,   guptkashi ,   kedarnath ,   rudraprayag ,   badrinath ,   joshimath ,   rishikesh",9,10,60140.0
Haridwar Rishikesh Mussoorie Tour Packages From Delhi,"delhi ,   haridwar ,   rishikesh ,   mussoorie ,   dhanaulti",6,7,15000.0
"Thirilling Haridwar, Jim Corbett and Rishkesh Tour","rishkesh ,   haridwar ,   jim corbett",5,6,35758.0
Yamunotri and Gangotri Tour Package,"haridwar ,   yamunotri ,  gangotri ,  haridwar",3,4,14000.0
"Unforgettable Haridwar, Rishikesh and Nainital Tour","rishikesh ,   haridwar ,   nainital",6,7,30608.0
"All in 1 Package - Haridwar, Rishikesh, Mussoorie and More","dehradun  ,   mussoorie  ,   rishikesh  ,   haridwar  ,   jim corbett",8,9,34591.0
Char Dham Yatra,"delhi ,   haridwar ,   barkot ,   yamunotri ,   uttarkashi ,   gangotri ,   sitapur ,   pipalkoti",10,11,64999.0
"Marvelous Haridwar, Delhi & More","delhi ,   haridwar ,   varanasi ,   bodh gaya",5,6,21950.0
Senior Friendly Char Dham Yatra Package,"haridwar ,  badkot ,  yamunotri ,   uttarkashi ,  gangotri ,   guptkashi ,  kedarnath ,  guptkashi ,  badrinath ,  govindghat",10,11,61000.0
Chardham Yatra Special Tour Package,"haridwar ,   barkot ,   yamunotri ,   uttarkashi ,   gangotri ,   guptkashi ,   kedarnath ,   guptkashi ,  govindghat ,   badrinath ,   haridwar",11,12,74500.0
Haridwar Do Dham Tour Package,"haridwar ,   guptkashi ,   kedarnath ,  guptkashi ,  govindghat ,   haridwar",7,8,22500.0
3 Days Rishikesh Rafting Tour Package,rishikesh,2,3,5500.0
Weekend Escapade to Rishikesh with River Rafting,rishikesh,1,2,3000.0
Exciting Auli & Rishikesh Family Holiday Package,"delhi ,   rishikesh ,   auli ,   haridwar",4,5,15999.0
"Captivating Uttarakhand: Rishikesh, Dhanaulti, Mussoorie","haridwar ,  rishikesh ,  mussoorie ,  dhanaulti",3,4,10500.0
Rishikesh Yoga & Meditation Tour Package,"haridwar ,   rishikesh",2,3,8500.0
Action Packed Rishikesh Tour with Camping & Rafting,shivpuri,1,2,3200.0
Char Dham Yatra Package from Rishikesh,"rishikesh ,  kedarnath ,  badrinath ,  rishikesh",3,4,18000.0
Ravishing Rishkesh & Mussoorie Tour,"delhi ,   dehradun ,  mussoorie ,  rishikesh",5,6,21000.0
Golden Triangle with Rishikesh Tour,"delhi ,  jaipur ,  agra ,  rishikesh",9,10,40000.0
Uttarakhand 5 Day Itinerary: Corbett National Park & Rishikesh,"delhi  ,   jim corbett national park ,  rishikesh",4,5,21000.0
Pilgrimage & Temple Tour of North India,"mathura ,  vrindavan ,   agra ,   delhi ,   haridwar ,   rishikesh",8,9,32500.0
Exhilarating Nainital and Mussoorie,"delhi ,   rishikesh ,   mussoorie ,   jim corbett national park ,   kausani ,   nainital",8,9,29890.0
10 Days Group Trek Tour to Valley of Flowers & Hemkund Sahib,"delhi ,   rishikesh ,   joshimath ,   ghangaria ,   srinagar",8,9,40500.0
Uttarakhand Delight Package,"delhi ,   rishikesh ,   lansdowne ,   jim corbett national park ,  kausani ,   binsar ,   nainital",7,8,28500.0
"Thirilling Rishkesh, Haridwar and Jim Corbett Tour","rishkesh ,   haridwar ,   jim corbett",5,6,35758.0
"Religious Package - Rishikesh, Rudraprayag, Joshimath and More","rishikesh ,   rudraprayag  ,   joshimath ,   kedarnath",6,7,17498.0
"Unforgettable Rishikesh, Haridwar and Nainital Tour","rishikesh ,   haridwar ,   nainital",6,7,30608.0
Simply Rishikesh,rishikesh,3,4,10594.0
New Year: Rafting & Camping In Rishikesh,rishikesh,1,2,2500.0
Blissful Auli and Rishikesh Tour Package,"rishikesh ,   auli ,   rishikesh",4,5,15000.0
Mussoorie Rishikesh & Corbett Tour Package,"mussoorie ,   rishikesh ,   corbett national park",5,6,17500.0
Love in Uttarakhand Honeymoon Package (Photoshoot Included),"delhi ,   rishikesh ,   mussoorie ,   jim corbett national park ,   kausani ,   nainital",8,9,35890.0
Taj Mahal with Rishikesh Tour,"delhi ,  jaipur ,  agra ,  rishikesh",9,10,32000.0
Delhi Nainital Mussoorie Tour Package - 5 Nights 6 Days,"delhi ,   mussoorie ,   jim corbett national park ,   nainital",5,6,22500.0
Holiday in Mussoorie & Dehradun Family Tour Package,"delhi ,   dehradun ,   mussoorie",4,5,20000.0
Quick Getaway to Mussoorie from Delhi,"delhi ,   mussoorie",1,2,3500.0
Weekend Getaway to Mussoorie & Dhanaulti Tour,mussoorie,2,3,8500.0
Lovely Mussoorie Honeymoon Tour,"delhi ,   mussoorie",3,4,15200.0
Triple Trio Package - Rishikesh with Mussoorie Tour,"delhi ,   dehradun ,  mussoorie ,  rishikesh",5,6,21000.0
Nainital and Mussoorie Tour,"delhi ,   mussoorie ,   nainital",4,5,15500.0
Rishikesh Mussoorie Tour Package,"haridwar ,  rishikesh ,  mussoorie ,  dhanaulti",3,4,10500.0
"7 Nights Splendid Uttarakhand Trip with Mussoorie, Ranikhet & More","delhi ,   mussoorie ,   jim corbett national park ,   ranikhet ,   nainital",7,8,25000.0
Best Selling Mussoorie Tour Package from Delhi,"delhi ,   mussoorie",2,3,8850.0
Nag Tibba Trek Package,"dehradun ,   nag tibba",1,2,4000.0
Dreamy Nainital Mussoorie Honeymoon Special Tour,"delhi ,   mussoorie ,   nainital",4,5,13500.0
"Classic Uttarakhand Honeymoon Package: Nainital, Corbett and Mussoorie Tour","delhi ,   mussoorie ,   jim corbett national park ,   nainital",5,6,21500.0
"Ethereal Honeymoon in Nainital, Jim Corbett and Mussoorie","delhi ,   mussoorie ,   jim corbett national park ,   nainital",5,6,20500.0
Nainital Mussoorie Honeymoon Package by Car from Delhi,"delhi ,   mussoorie ,   nainital",4,5,14500.0
"Romantic Uttarakhand Honeymoon Package with Mussoorie, Ranikhet & More","delhi ,   mussoorie ,   jim corbett national park ,   ranikhet ,   nainital",7,8,32000.0
Memorable Uttarakhand Luxury Honeymoon Package,"delhi ,   haridwar ,   mussoorie ,   nainital ,   corbett ,   delhi",8,9,31950.0
Classic Uttarakhand Honeymoon Package,"delhi ,   nainital ,   jim corbett national park ,   haridwar ,   mussoorie",7,8,31000.0
Spiritual Heaven and Wildlife Treasures Uttarakhand Package,"mussoorie ,   corbett national park ,   nainital",5,6,17000.0
"Nainital, Kausani and Ranikhet Delight Tour Package","delhi ,   nainital ,   kausani ,   ranikhet",4,5,14500.0
Nainital Tour Package 2 Nights 3 Days,nainital,2,3,5500.0
