package_name,category_of_package,cities_to_be_visit,count_of_cities,categories_by_days,no_of_nights,no_of_days,categories_by_price,accommodation_facility,price,tokenized_cities_to_be_visit,tokenized_package_name
dharamshala dalhousie honeymoon package with chamba sightseeing,honeymoon_package,"delhi ,   dharamshala ,   khajjiar ,   dalhousie ,   chamba",5,medium trip,3,4,budget,budget hotel,14500.0,"['delhi', 'dharamshala', 'khajjiar', 'dalhousie', 'chamba']","['Dharamshala', 'Dalhousie', 'Honeymoon', 'Package', 'with', 'Chamba', 'Sightseeing']"
exciting manali and dalhousie package with chamba day trip,holiday_package,"chandigarh ,   manali ,   palampur ,   dalhousie ,   chamba",5,medium trip,6,7,standard,3-star hotel,26500.0,"['chandigarh', 'manali', 'palampur', 'dalhousie', 'chamba']","['Exciting', 'Manali', 'and', 'Dalhousie', 'Package', 'with', 'Chamba', 'Day', 'Trip']"
"charms of chamba, dalhousie, khajjiar & more",holiday_package,"dalhousie ,  khajjiar ,  chamba ,  dharamshala",4,medium trip,6,7,standard,3-star hotel,17500.0,"['dalhousie', 'khajjiar', 'chamba', 'dharamshala']","['Charms', 'of', 'Chamba', 'Dalhousie', 'Khajjiar', 'More']"
"romantic chamba, khajjiar and dalhousie",honeymoon_package,"dalhousie ,  khajjiar ,  chamba ,  dalhousie",4,medium trip,5,6,standard,3-star hotel,18000.0,"['dalhousie', 'khajjiar', 'chamba', 'dalhousie']","['Romantic', 'Chamba', 'Khajjiar', 'and', 'Dalhousie']"
prashar lake trek tour from delhi with camping,nature_package,"delhi ,   prashar",2,short trip,1,2,budget,low-cost apartment,5500.0,"['delhi', 'prashar']","['Prashar', 'Lake', 'Trek', 'Tour', 'from', 'Delhi', 'with', 'Camping']"
dharamshala and mandi tour package,holiday_package,"delhi ,   dharamshala ,   mandi",3,medium trip,3,4,budget,budget hotel,10500.0,"['delhi', 'dharamshala', 'mandi']","['Dharamshala', 'and', 'Mandi', 'Tour', 'Package']"
charming dharamshala honeymoon special with bir billing,honeymoon_package,"pathankot ,  dharamshala ,  bir billing ,   barot",5,medium trip,3,4,budget,budget hotel,12000.0,"['pathankot', 'dharamshala', 'bir', 'billing', 'barot']","['Charming', 'Dharamshala', 'Honeymoon', 'Special', 'with', 'Bir', 'Billing']"
dharamshala – bir billing - barot super deluxe honeymoon package,honeymoon_package,"pathankot ,  dharamshala ,  bir billing ,   barot",5,medium trip,3,4,budget,budget hotel,11000.0,"['pathankot', 'dharamshala', 'bir', 'billing', 'barot']","['Dharamshala', '–', 'Bir', 'Billing', 'Barot', 'Super', 'Deluxe', 'Honeymoon', 'Package']"
"offbeat himachal honeymoon package to bir billing, barot, parashar lake",offbeat_package,"delhi ,   bir billing ,   barot ,   parashar lake",6,medium trip,5,6,standard,3-star hotel,17800.0,"['delhi', 'bir', 'billing', 'barot', 'parashar', 'lake']","['Offbeat', 'Himachal', 'Honeymoon', 'Package', 'to', 'Bir', 'Billing', 'Barot', 'Parashar', 'Lake']"
himachal tour package 5 days,holiday_package,"delhi ,   kasol ,   kheerganga ,   manikaran ,   manali",5,medium trip,4,5,standard,3-star hotel,17400.0,"['delhi', 'kasol', 'kheerganga', 'manikaran', 'manali']","['Himachal', 'Tour', 'Package', '5', 'Days']"
recharge in coorg tour package,holiday_package,"mysore ,   coorg",2,medium trip,3,4,budget,budget hotel,8950.0,"['mysore', 'coorg']","['Recharge', 'in', 'Coorg', 'Tour', 'Package']"
2 nights 3 days coorg getaway package,holiday_package,coorg,1,short trip,2,3,budget,low-cost apartment,7000.0,['coorg'],"['2', 'Nights', '3', 'Days', 'Coorg', 'Getaway', 'Package']"
coorg adventure package with river rafting,adventure_package,"bangalore ,   coorg",2,medium trip,4,5,budget,budget hotel,7999.0,"['bangalore', 'coorg']","['Coorg', 'Adventure', 'Package', 'with', 'River', 'Rafting']"
magical coorg mysore tour package,holiday_package,"mysore ,   coorg",2,medium trip,3,4,budget,budget hotel,6750.0,"['mysore', 'coorg']","['Magical', 'Coorg', 'Mysore', 'Tour', 'Package']"
south india tour packages for 10 days with coorg,holiday_package,"bangalore ,   mysore ,   coorg ,   ooty ,   kodaikanal",5,long trip,9,10,premium,4-star hotel,40250.0,"['bangalore', 'mysore', 'coorg', 'ooty', 'kodaikanal']","['South', 'India', 'Tour', 'Packages', 'for', '10', 'Days', 'with', 'Coorg']"
best selling coorg holiday package from bangalore,holiday_package,"bangalore ,   coorg",2,medium trip,3,4,budget,budget hotel,12599.0,"['bangalore', 'coorg']","['Best', 'Selling', 'Coorg', 'Holiday', 'Package', 'from', 'Bangalore']"
pocket friendly coorg tour package,holiday_package,"bangalore ,   coorg",2,short trip,2,3,budget,low-cost apartment,5500.0,"['bangalore', 'coorg']","['Pocket', 'Friendly', 'Coorg', 'Tour', 'Package']"
"breathtaking wayanad, coorg & kannur 3 star holiday package",holiday_package,"bangalore ,   coorg ,   wayanad ,   kannur",4,medium trip,6,7,standard,3-star hotel,16000.0,"['bangalore', 'coorg', 'wayanad', 'kannur']","['Breathtaking', 'Wayanad', 'Coorg', 'Kannur', '3', 'Star', 'Holiday', 'Package']"
"relax & recharge package: coorg, ooty, coonoor & more",holiday_package,"bangalore ,   mysore ,   coorg ,   ooty",4,medium trip,5,6,budget,budget hotel,15000.0,"['bangalore', 'mysore', 'coorg', 'ooty']","['Relax', 'Recharge', 'Package', 'Coorg', 'Ooty', 'Coonoor', 'More']"
relaxing week in coorg & chikmagalur with mysore,holiday_package,"bangalore ,   mysore ,   chikmagalur ,   coorg",4,medium trip,5,6,budget,budget hotel,13799.0,"['bangalore', 'mysore', 'chikmagalur', 'coorg']","['Relaxing', 'Week', 'in', 'Coorg', 'Chikmagalur', 'with', 'Mysore']"
serene coorg getaway with mysore,holiday_package,"bangalore ,   coorg ,   mysore",3,medium trip,4,5,budget,budget hotel,12200.0,"['bangalore', 'coorg', 'mysore']","['Serene', 'Coorg', 'Getaway', 'with', 'Mysore']"
pocket friendly wayanad coorg holiday package,holiday_package,"bangalore ,   coorg ,   wayanad ,   mysore",4,medium trip,5,6,standard,3-star hotel,20450.0,"['bangalore', 'coorg', 'wayanad', 'mysore']","['Pocket', 'Friendly', 'Wayanad', 'Coorg', 'Holiday', 'Package']"
"nature rendezvous package: coorg, wayanad, ooty & more",nature_package,"bangalore ,   mysore ,   coorg ,   wayanad ,   ooty",5,long trip,7,8,premium,4-star hotel,34000.0,"['bangalore', 'mysore', 'coorg', 'wayanad', 'ooty']","['Nature', 'Rendezvous', 'Package', 'Coorg', 'Wayanad', 'Ooty', 'More']"
breathtaking coorg with mysore & bangalore,holiday_package,"bangalore ,   mysore ,   coorg",3,medium trip,5,6,standard,3-star hotel,21550.0,"['bangalore', 'mysore', 'coorg']","['Breathtaking', 'Coorg', 'with', 'Mysore', 'Bangalore']"
"beaches & hills of karnataka: coorg, chikmagalur, mangalore & more",holiday_package,"bangalore ,   mysore ,   coorg ,   mangalore ,   chikmagalur",5,long trip,8,9,premium,4-star hotel,38999.0,"['bangalore', 'mysore', 'coorg', 'mangalore', 'chikmagalur']","['Beaches', 'Hills', 'of', 'Karnataka', 'Coorg', 'Chikmagalur', 'Mangalore', 'More']"
essence of karnataka in 5 days,holiday_package,"bangalore ,   mysore ,   coorg",3,medium trip,4,5,standard,3-star hotel,16649.0,"['bangalore', 'mysore', 'coorg']","['Essence', 'of', 'Karnataka', 'in', '5', 'Days']"
coorg wayanad hill station tour package,holiday_package,"bangalore ,   coorg ,   wayanad",3,medium trip,4,5,budget,budget hotel,15000.0,"['bangalore', 'coorg', 'wayanad']","['Coorg', 'Wayanad', 'Hill', 'Station', 'Tour', 'Package']"
south india package mysore coorg  ooty,holiday_package,"bangalore ,   mysore ,   coorg ,   ooty",4,medium trip,5,6,budget,budget hotel,13799.0,"['bangalore', 'mysore', 'coorg', 'ooty']","['South', 'India', 'Package', 'Mysore', 'Coorg', 'Ooty']"
"bangalore, mysore, coorg & mangalore package",holiday_package,"bangalore ,   mysore ,   coorg ,   mangalore",4,medium trip,6,7,standard,3-star hotel,16559.0,"['bangalore', 'mysore', 'coorg', 'mangalore']","['Bangalore', 'Mysore', 'Coorg', 'Mangalore', 'Package']"
holiday in hills coorg & ooty package from bangalore,holiday_package,"bangalore ,   mysore ,   coorg ,   ooty",4,medium trip,5,6,standard,3-star hotel,18900.0,"['bangalore', 'mysore', 'coorg', 'ooty']","['Holiday', 'in', 'Hills', 'Coorg', 'Ooty', 'Package', 'from', 'Bangalore']"
"relaxing honeymoon tour to wayanad, coorg & kannur",honeymoon_package,"bangalore ,   coorg ,   wayanad ,   kannur",4,medium trip,6,7,standard,3-star hotel,16000.0,"['bangalore', 'coorg', 'wayanad', 'kannur']","['Relaxing', 'Honeymoon', 'Tour', 'to', 'Wayanad', 'Coorg', 'Kannur']"
breathtaking coorg 4-star honeymoon package from bangalore,honeymoon_package,"bangalore ,   coorg",2,medium trip,3,4,standard,3-star hotel,15899.0,"['bangalore', 'coorg']","['Breathtaking', 'Coorg', '4Star', 'Honeymoon', 'Package', 'from', 'Bangalore']"
romance in hills : ooty & coorg honeymoon package from banaglore,honeymoon_package,"bangalore ,   mysore ,   coorg ,   ooty",4,medium trip,5,6,budget,budget hotel,15000.0,"['bangalore', 'mysore', 'coorg', 'ooty']","['Romance', 'in', 'Hills', 'Ooty', 'Coorg', 'Honeymoon', 'Package', 'from', 'Banaglore']"
together in coorg & wayanad honeymoon special (package from bangalore),honeymoon_package,"bangalore ,   coorg ,   wayanad",3,medium trip,4,5,budget,budget hotel,12000.0,"['bangalore', 'coorg', 'wayanad']","['Together', 'in', 'Coorg', 'Wayanad', 'Honeymoon', 'Special', 'Package', 'from', 'Bangalore']"
"exotic coorg, ooty and kodaikanal honeymoon package from bangalore",honeymoon_package,"bangalore ,   mysore ,   coorg ,   ooty ,   kodaikanal",5,long trip,9,10,standard,standard hotel,24250.0,"['bangalore', 'mysore', 'coorg', 'ooty', 'kodaikanal']","['Exotic', 'Coorg', 'Ooty', 'and', 'Kodaikanal', 'Honeymoon', 'Package', 'from', 'Bangalore']"
"nature rendezvous honeymoon in coorg, wayanad, ooty & more",nature_package,"bangalore ,   mysore ,   coorg ,   wayanad ,   ooty",5,long trip,7,8,standard,standard hotel,22000.0,"['bangalore', 'mysore', 'coorg', 'wayanad', 'ooty']","['Nature', 'Rendezvous', 'Honeymoon', 'in', 'Coorg', 'Wayanad', 'Ooty', 'More']"
breathtaking karnataka honeymoon package,honeymoon_package,"bangalore ,   mysore ,   coorg",3,medium trip,4,5,budget,budget hotel,12649.0,"['bangalore', 'mysore', 'coorg']","['Breathtaking', 'Karnataka', 'Honeymoon', 'Package']"
fantastic karnataka honeymoon special,honeymoon_package,"bangalore ,   mysore ,   coorg ,   mangalore ,   chikmagalur",5,long trip,8,9,standard,standard hotel,22999.0,"['bangalore', 'mysore', 'coorg', 'mangalore', 'chikmagalur']","['Fantastic', 'Karnataka', 'Honeymoon', 'Special']"
"coorg honeymoon  package with mysore, ooty and kodaikanal",honeymoon_package,"bangalore ,   mysore ,   coorg ,   ooty ,   kodaikanal",5,long trip,9,10,standard,standard hotel,24250.0,"['bangalore', 'mysore', 'coorg', 'ooty', 'kodaikanal']","['Coorg', 'Honeymoon', 'Package', 'with', 'Mysore', 'Ooty', 'and', 'Kodaikanal']"
coorg honeymoon package: beaches & hills of karnataka,honeymoon_package,"bangalore ,   mysore ,   coorg ,   mangalore ,   chikmagalur",5,long trip,8,9,standard,standard hotel,22999.0,"['bangalore', 'mysore', 'coorg', 'mangalore', 'chikmagalur']","['Coorg', 'Honeymoon', 'Package', 'Beaches', 'Hills', 'of', 'Karnataka']"
serene coorg honeymoon getaway with mysore,honeymoon_package,"bangalore ,   coorg ,   mysore",3,medium trip,4,5,budget,budget hotel,12200.0,"['bangalore', 'coorg', 'mysore']","['Serene', 'Coorg', 'Honeymoon', 'Getaway', 'with', 'Mysore']"
the tamara coorg,holiday_package,coorg,1,medium trip,4,5,luxury,high-end luxury resort,73450.0,['coorg'],"['The', 'Tamara', 'Coorg']"
honeymoon in coorg & ooty package from bangalore,honeymoon_package,"bangalore ,   coorg ,   ooty",3,medium trip,4,5,standard,3-star hotel,19900.0,"['bangalore', 'coorg', 'ooty']","['Honeymoon', 'in', 'Coorg', 'Ooty', 'Package', 'from', 'Bangalore']"
luxury coorg wayanad hill station tour package,luxury_package,"bangalore ,   coorg ,   wayanad",3,medium trip,4,5,standard,3-star hotel,30000.0,"['bangalore', 'coorg', 'wayanad']","['Luxury', 'Coorg', 'Wayanad', 'Hill', 'Station', 'Tour', 'Package']"
picturesque wayanad & coorg: honeymoon special package,honeymoon_package,"bangalore ,   coorg ,   wayanad",3,medium trip,4,5,budget,budget hotel,12000.0,"['bangalore', 'coorg', 'wayanad']","['Picturesque', 'Wayanad', 'Coorg', 'Honeymoon', 'Special', 'Package']"
coorg & wayanad honeymoon delight package,honeymoon_package,"bangalore ,   coorg ,   wayanad",3,medium trip,4,5,budget,budget hotel,12000.0,"['bangalore', 'coorg', 'wayanad']","['Coorg', 'Wayanad', 'Honeymoon', 'Delight', 'Package']"
breathtaking coorg & chikmagalur honeymoon special package,honeymoon_package,"bangalore ,   mysore ,   chikmagalur ,   coorg",4,medium trip,5,6,budget,budget hotel,13799.0,"['bangalore', 'mysore', 'chikmagalur', 'coorg']","['Breathtaking', 'Coorg', 'Chikmagalur', 'Honeymoon', 'Special', 'Package']"
