package_name,category_of_package,cities_to_be_visit,count_of_cities,categories_by_days,no_of_nights,no_of_days,categories_by_price,accommodation_facility,price,tokenized_cities_to_be_visit,tokenized_package_name
blissful karnataka & kerala honeymoon package,honeymoon_package,"bangalore ,   coorg ,   wayanad ,   kannur",4,medium trip,6,7,standard,3-star hotel,25000.0,"['bangalore', 'coorg', 'wayanad', 'kannur']","['Blissful', 'Karnataka', 'Kerala', 'Honeymoon', 'Package']"
wonderful coorg honeymoon getaway,honeymoon_package,coorg,1,short trip,2,3,budget,low-cost apartment,7000.0,['coorg'],"['Wonderful', 'Coorg', 'Honeymoon', 'Getaway']"
idyllic coorg honeymoon tour,honeymoon_package,"mysore ,   coorg",2,medium trip,3,4,budget,budget hotel,11050.0,"['mysore', 'coorg']","['Idyllic', 'Coorg', 'Honeymoon', 'Tour']"
budget honeymoon in coorg,budget_package,"bangalore ,   coorg",2,short trip,2,3,budget,low-cost apartment,6500.0,"['bangalore', 'coorg']","['Budget', 'Honeymoon', 'in', 'Coorg']"
weekend at coorg wilderness resort,weekend_package,"bangalore ,   coorg ,   bangalore",3,short trip,2,3,standard,serviced apartment,27600.0,"['bangalore', 'coorg', 'bangalore']","['Weekend', 'At', 'Coorg', 'Wilderness', 'Resort']"
weekend at kadkani river resort,weekend_package,"bangalore ,   coorg ,   bangalore",3,short trip,2,3,budget,low-cost apartment,14206.0,"['bangalore', 'coorg', 'bangalore']","['Weekend', 'At', 'Kadkani', 'River', 'Resort']"
"weekend at the birchwood retreat, madikeri",weekend_package,"bangalore ,   coorg ,   bangalore",3,short trip,2,3,budget,low-cost apartment,9649.0,"['bangalore', 'coorg', 'bangalore']","['Weekend', 'at', 'The', 'Birchwood', 'Retreat', 'Madikeri']"
weekend at the road's end,weekend_package,"bangalore ,   coorg ,   bangalore",3,short trip,2,3,budget,low-cost apartment,8503.0,"['bangalore', 'coorg', 'bangalore']","['Weekend', 'At', 'The', 'Roads', 'End']"
weekend at palm era resorts,weekend_package,"bangalore ,   coorg ,   bangalore",3,short trip,2,3,budget,low-cost apartment,8160.0,"['bangalore', 'coorg', 'bangalore']","['Weekend', 'At', 'Palm', 'Era', 'Resorts']"
weekend at ama plantation trails coorg,weekend_package,"bangalore ,   coorg ,   bangalore",3,short trip,2,3,budget,low-cost apartment,7009.0,"['bangalore', 'coorg', 'bangalore']","['Weekend', 'at', 'Ama', 'Plantation', 'Trails', 'Coorg']"
weekend at evolve back coorg,weekend_package,"bangalore ,   coorg ,   bangalore",3,short trip,2,3,standard,serviced apartment,27800.0,"['bangalore', 'coorg', 'bangalore']","['Weekend', 'At', 'Evolve', 'Back', 'Coorg']"
"hampi, bijapur & badami: unesco sites tour package",cultural_package,"hospet ,   hampi ,   bijapur ,   badami",4,medium trip,4,5,budget,budget hotel,11999.0,"['hospet', 'hampi', 'bijapur', 'badami']","['Hampi', 'Bijapur', 'Badami', 'UNESCO', 'Sites', 'Tour', 'Package']"
banglore mysore ooty kodaikanal tour package,holiday_package,"bangalore ,  mysore ,  ooty ,  kodaikanal",4,medium trip,6,7,standard,3-star hotel,25335.0,"['bangalore', 'mysore', 'ooty', 'kodaikanal']","['Banglore', 'Mysore', 'Ooty', 'Kodaikanal', 'Tour', 'Package']"
"offbeat tour package: chikmagalur, hampi & more with goa",offbeat_package,"bangalore ,   mysore ,   chikmagalur ,   hampi ,   goa",5,long trip,8,9,standard,standard hotel,22999.0,"['bangalore', 'mysore', 'chikmagalur', 'hampi', 'goa']","['Offbeat', 'Tour', 'Package', 'Chikmagalur', 'Hampi', 'More', 'with', 'Goa']"
leisurely chikmagalur package with mysore,holiday_package,"bangalore ,   mysore ,   chikmagalur",3,medium trip,4,5,budget,budget hotel,12649.0,"['bangalore', 'mysore', 'chikmagalur']","['Leisurely', 'Chikmagalur', 'Package', 'with', 'Mysore']"
holiday in hills coorg & ooty package with mysore,holiday_package,"bangalore ,   mysore ,   coorg ,   ooty",4,medium trip,5,6,standard,3-star hotel,18900.0,"['bangalore', 'mysore', 'coorg', 'ooty']","['Holiday', 'in', 'Hills', 'Coorg', 'Ooty', 'Package', 'with', 'Mysore']"
karnataka wildlife tour package with jungle safari,nature_package,"bangalore ,   mysore ,   nagarhole ,   bandipur national park",6,medium trip,4,5,budget,budget hotel,15000.0,"['bangalore', 'mysore', 'nagarhole', 'bandipur', 'national', 'park']","['Karnataka', 'Wildlife', 'Tour', 'Package', 'with', 'Jungle', 'Safari']"
bangalore  mysore chikmagalur & hampi package,holiday_package,"bangalore ,   mysore ,   chikmagalur ,   hampi",4,medium trip,6,7,standard,3-star hotel,16559.0,"['bangalore', 'mysore', 'chikmagalur', 'hampi']","['Bangalore', 'Mysore', 'Chikmagalur', 'Hampi', 'Package']"
"extensive karnataka tour package: bangalore, chikmagalur, kudremukh & more",holiday_package,"bangalore ,   mysore ,   chikmagalur ,   kudremukh ,   mangalore",5,long trip,8,9,premium,4-star hotel,35999.0,"['bangalore', 'mysore', 'chikmagalur', 'kudremukh', 'mangalore']","['Extensive', 'Karnataka', 'Tour', 'Package', 'Bangalore', 'Chikmagalur', 'Kudremukh', 'More']"
"tamilnadu hill retreat from bangalore: ooty, coonoor & more",holiday_package,"bangalore ,   mysore ,   ooty ,   kodaikanal",4,medium trip,5,6,budget,budget hotel,14700.0,"['bangalore', 'mysore', 'ooty', 'kodaikanal']","['Tamilnadu', 'Hill', 'Retreat', 'from', 'Bangalore', 'Ooty', 'Coonoor', 'More']"
"wilderness & hills package: ooty, wayanad & mysore",holiday_package,"bangalore ,   mysore ,   ooty ,   wayanad",4,medium trip,5,6,budget,budget hotel,11500.0,"['bangalore', 'mysore', 'ooty', 'wayanad']","['Wilderness', 'Hills', 'Package', 'Ooty', 'Wayanad', 'Mysore']"
"south india package around bangalore, mysore & kodaikanal",holiday_package,"bangalore ,   mysore ,   kodaikanal",3,medium trip,4,5,standard,3-star hotel,16649.0,"['bangalore', 'mysore', 'kodaikanal']","['South', 'India', 'Package', 'Around', 'Bangalore', 'Mysore', 'Kodaikanal']"
beautiful mysore ooty tour package,holiday_package,"bangalore ,   mysore ,   ooty",3,medium trip,3,4,budget,budget hotel,14350.0,"['bangalore', 'mysore', 'ooty']","['Beautiful', 'Mysore', 'Ooty', 'Tour', 'Package']"
southern karnataka temple trail with ooty and coonoor,cultural_package,"bangalore ,   hassan ,   mysore ,   ooty",4,long trip,7,8,premium,4-star hotel,35800.0,"['bangalore', 'hassan', 'mysore', 'ooty']","['Southern', 'Karnataka', 'Temple', 'Trail', 'With', 'Ooty', 'and', 'Coonoor']"
